ind,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1715,2012/3/17,1,1,3,8,0,6,0,2,0.42,0.4242,0.94,0.1045,63,155,218
1716,2011/7/9,3,0,7,1,0,6,0,2,0.64,0.5758,0.89,0.1045,5,48,53
1717,2012/7/16,3,1,7,13,0,1,1,1,0.84,0.7879,0.49,0.2836,63,176,239
1718,2012/9/11,3,1,9,9,0,2,1,1,0.6,0.6212,0.49,0,35,323,358
1719,2011/11/6,4,0,11,12,0,0,0,1,0.44,0.4394,0.54,0,120,226,346
1720,2012/12/26,1,1,12,19,0,3,1,3,0.3,0.2879,0.87,0.194,2,33,35
1721,2012/11/10,4,1,11,20,0,6,0,1,0.44,0.4394,0.54,0,39,153,192
1722,2011/4/14,2,0,4,17,0,4,1,1,0.6,0.6061,0.28,0,50,338,388
1723,2011/4/29,2,0,4,18,0,5,1,1,0.52,0.5,0.48,0.3582,55,384,439
1724,2011/3/11,1,0,3,7,0,5,1,1,0.26,0.2576,0.7,0.194,10,104,114
1725,2012/6/16,2,1,6,5,0,6,0,1,0.54,0.5152,0.68,0.1045,2,21,23
1726,2011/1/15,1,0,1,0,0,6,0,1,0.18,0.2424,0.55,0,3,25,28
1727,2012/7/8,3,1,7,1,0,0,0,1,0.82,0.7879,0.56,0.1045,25,99,124
1728,2012/10/13,4,1,10,20,0,6,0,1,0.4,0.4091,0.54,0.0896,57,198,255
1729,2011/8/22,3,0,8,15,0,1,1,1,0.74,0.6515,0.3,0.2985,72,127,199
1730,2012/9/9,3,1,9,2,0,0,0,1,0.54,0.5152,0.77,0.2836,15,81,96
1731,2011/12/14,4,0,12,14,0,3,1,2,0.38,0.3939,0.54,0.0896,17,134,151
1732,2011/1/28,1,0,1,23,0,5,1,1,0.24,0.2273,0.6,0.2239,1,22,23
1733,2011/4/20,2,0,4,4,0,3,1,1,0.4,0.4091,1,0.1045,5,4,9
1734,2011/1/13,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30,30
1735,2011/1/16,1,0,1,1,0,0,0,1,0.26,0.2727,0.56,0.1343,4,19,23
1736,2011/9/24,4,0,9,15,0,6,0,2,0.66,0.6212,0.74,0.1343,168,284,452
1737,2011/8/27,3,0,8,4,0,6,0,2,0.7,0.6667,0.84,0.2239,1,3,4
1738,2012/10/8,4,1,10,0,1,1,0,1,0.38,0.3939,0.76,0.2836,7,44,51
1739,2012/8/10,3,1,8,15,0,5,1,1,0.8,0.7424,0.52,0.4478,100,224,324
1740,2011/12/7,4,0,12,15,0,3,1,3,0.42,0.4242,0.94,0.2239,5,25,30
1741,2012/2/13,1,1,2,8,0,1,1,1,0.1,0.1212,0.54,0.1343,4,413,417
1742,2011/9/12,3,0,9,14,0,1,1,1,0.74,0.6667,0.51,0.1642,60,129,189
1743,2011/10/31,4,0,10,0,0,1,1,1,0.26,0.303,0.87,0,3,20,23
1744,2012/10/4,4,1,10,4,0,4,1,2,0.64,0.5758,0.89,0,0,10,10
1745,2011/7/17,3,0,7,0,0,0,0,1,0.66,0.6212,0.65,0.2239,34,91,125
1746,2011/1/12,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128
1747,2012/2/26,1,1,2,10,0,0,0,1,0.26,0.2576,0.41,0.1642,27,161,188
1748,2011/2/7,1,0,2,10,0,1,1,1,0.24,0.2576,0.75,0.1045,6,49,55
1749,2011/4/4,2,0,4,2,0,1,1,1,0.38,0.3939,0.66,0.2537,1,1,2
1750,2012/5/24,2,1,5,3,0,4,1,2,0.6,0.5455,0.88,0.1045,1,3,4
1751,2012/5/13,2,1,5,6,0,0,0,1,0.52,0.5,0.68,0.1642,6,15,21
1752,2011/12/9,4,0,12,16,0,5,1,1,0.36,0.3485,0.62,0.1343,24,226,250
1753,2011/4/7,2,0,4,3,0,4,1,1,0.36,0.3485,0.66,0.194,0,3,3
1754,2011/4/14,2,0,4,8,0,4,1,1,0.42,0.4242,0.58,0.1642,21,316,337
1755,2012/10/12,4,1,10,0,0,5,1,1,0.4,0.4091,0.66,0.1045,8,60,68
1756,2011/7/9,3,0,7,20,0,6,0,1,0.76,0.7121,0.58,0.2239,129,185,314
1757,2012/1/9,1,1,1,7,0,1,1,2,0.22,0.2424,0.6,0.1045,1,239,240
1758,2012/3/5,1,1,3,4,0,1,1,1,0.2,0.2273,0.55,0.0896,0,1,1
1759,2012/7/15,3,1,7,13,0,0,0,1,0.86,0.7879,0.41,0.1045,171,309,480
1760,2011/2/13,1,0,2,12,0,0,0,1,0.36,0.3182,0.32,0.4627,58,94,152
1761,2011/7/16,3,0,7,4,0,6,0,1,0.6,0.5909,0.73,0.0896,9,7,16
1762,2011/2/1,1,0,2,3,0,2,1,2,0.16,0.2273,0.69,0,0,2,2
1763,2012/11/30,4,1,11,21,0,5,1,1,0.3,0.3182,0.75,0.0896,14,169,183
1764,2011/1/19,1,0,1,12,0,3,1,2,0.3,0.3182,0.81,0.0896,5,65,70
1765,2011/6/28,3,0,6,8,0,2,1,1,0.7,0.6667,0.79,0.1642,39,417,456
1766,2012/6/25,3,1,6,2,0,1,1,1,0.7,0.6515,0.7,0.2239,4,10,14
1767,2012/6/21,3,1,6,9,0,4,1,1,0.8,0.7576,0.55,0.194,32,224,256
1768,2011/7/27,3,0,7,5,0,3,1,1,0.7,0.6515,0.54,0.2836,0,18,18
1769,2012/11/30,4,1,11,8,0,5,1,2,0.22,0.2576,0.8,0.0896,20,709,729
1770,2012/7/11,3,1,7,17,0,3,1,1,0.8,0.697,0.31,0.2239,90,740,830
1771,2012/6/24,3,1,6,7,0,0,0,1,0.64,0.6061,0.69,0.1045,23,48,71
1772,2012/8/5,3,1,8,22,0,0,0,1,0.72,0.697,0.79,0.0896,57,100,157
1773,2012/4/5,2,1,4,15,0,4,1,1,0.5,0.4848,0.31,0.1045,98,171,269
1774,2012/11/10,4,1,11,0,0,6,0,1,0.32,0.3333,0.76,0.0896,16,106,122
1775,2012/9/10,3,1,9,5,0,1,1,1,0.5,0.4848,0.72,0.2537,4,36,40
1776,2012/7/22,3,1,7,7,0,0,0,2,0.62,0.5758,0.83,0,13,25,38
1777,2012/7/3,3,1,7,13,0,2,1,1,0.9,0.7727,0.25,0.1343,80,203,283
1778,2012/5/19,2,1,5,16,0,6,0,1,0.74,0.6515,0.3,0.1045,331,311,642
1779,2012/12/1,4,1,12,2,0,6,0,2,0.26,0.303,0.81,0,3,47,50
1780,2011/10/26,4,0,10,4,0,3,1,1,0.42,0.4242,0.71,0.2537,0,5,5
1781,2012/12/12,4,1,12,8,0,3,1,2,0.26,0.2576,0.65,0.1642,18,670,688
1782,2012/5/11,2,1,5,9,0,5,1,1,0.48,0.4697,0.41,0.2985,34,288,322
1783,2012/4/24,2,1,4,1,0,2,1,2,0.32,0.3333,0.81,0.1343,1,6,7
1784,2012/2/3,1,1,2,3,0,5,1,1,0.28,0.2576,0.56,0.2985,0,4,4
1785,2011/7/13,3,0,7,0,0,3,1,1,0.76,0.7121,0.62,0,9,37,46
1786,2011/8/5,3,0,8,22,0,5,1,1,0.7,0.6515,0.65,0.2239,51,137,188
1787,2012/3/31,2,1,3,12,0,6,0,1,0.48,0.4697,0.67,0,263,358,621
1788,2012/1/29,1,1,1,20,0,0,0,1,0.3,0.2879,0.39,0.2239,13,98,111
1789,2011/3/9,1,0,3,0,0,3,1,1,0.26,0.2879,0.65,0.0896,0,9,9
1790,2011/9/5,3,0,9,8,1,1,0,2,0.66,0.6061,0.78,0.194,45,56,101
1791,2011/2/4,1,0,2,12,0,5,1,2,0.24,0.2424,0.48,0.1642,8,78,86
1792,2011/10/24,4,0,10,14,0,1,1,2,0.54,0.5152,0.64,0.194,63,143,206
1793,2011/3/5,1,0,3,2,0,6,0,2,0.3,0.2879,0.87,0.194,5,15,20
1794,2012/2/19,1,1,2,6,0,0,0,1,0.24,0.2121,0.52,0.3284,0,5,5
1795,2011/4/22,2,0,4,18,0,5,1,3,0.32,0.303,0.93,0.2239,4,47,51
1796,2011/9/2,3,0,9,17,0,5,1,2,0.68,0.6364,0.65,0.1642,78,377,455
1797,2011/7/21,3,0,7,10,0,4,1,2,0.82,0.8636,0.71,0.2239,31,47,78
1798,2012/4/2,2,1,4,22,0,1,1,1,0.42,0.4242,0.44,0.194,17,106,123
1799,2012/2/2,1,1,2,10,0,4,1,3,0.42,0.4242,0.77,0.1045,6,72,78
1800,2012/8/31,3,1,8,9,0,5,1,1,0.74,0.697,0.7,0,61,337,398
1801,2011/12/6,4,0,12,8,0,2,1,2,0.46,0.4545,0.94,0.194,13,401,414
1802,2011/6/17,2,0,6,15,0,5,1,1,0.78,0.697,0.43,0.2239,62,181,243
1803,2012/11/10,4,1,11,22,0,6,0,1,0.38,0.3939,0.71,0.0896,39,154,193
1804,2012/1/10,1,1,1,23,0,2,1,1,0.26,0.2727,0.81,0.1045,3,38,41
1805,2011/5/31,2,0,5,12,0,2,1,1,0.86,0.803,0.47,0.1343,37,125,162
1806,2011/7/10,3,0,7,5,0,0,0,1,0.66,0.6212,0.74,0,7,10,17
1807,2012/9/3,3,1,9,17,1,1,0,1,0.74,0.697,0.7,0.1343,181,317,498
1808,2011/8/25,3,0,8,6,0,4,1,1,0.66,0.6061,0.83,0.3284,1,101,102
1809,2011/11/25,4,0,11,10,0,5,1,1,0.36,0.3485,0.71,0.1642,60,82,142
1810,2011/1/8,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62
1811,2012/5/27,2,1,5,4,0,0,0,1,0.62,0.5758,0.83,0.194,4,7,11
1812,2011/5/29,2,0,5,13,0,0,0,1,0.72,0.6818,0.7,0.2836,237,181,418
1813,2011/11/6,4,0,11,10,0,0,0,1,0.36,0.3636,0.66,0.0896,76,186,262
1814,2011/8/31,3,0,8,8,0,3,1,1,0.62,0.6061,0.69,0,27,440,467
1815,2011/7/12,3,0,7,10,0,2,1,1,0.82,0.7727,0.52,0.1642,38,85,123
1816,2012/4/17,2,1,4,22,0,2,1,1,0.54,0.5152,0.3,0.2537,18,144,162
1817,2011/11/13,4,0,11,23,0,0,0,1,0.46,0.4545,0.51,0.2985,18,49,67
1818,2011/12/20,4,0,12,18,0,2,1,1,0.38,0.3939,0.66,0.194,26,385,411
1819,2012/7/29,3,1,7,12,0,0,0,1,0.76,0.697,0.55,0.3284,154,357,511
1820,2011/9/7,3,0,9,15,0,3,1,3,0.62,0.5455,0.94,0.1045,3,55,58
1821,2011/7/20,3,0,7,8,0,3,1,1,0.74,0.7121,0.74,0,34,404,438
1822,2012/9/3,3,1,9,11,1,1,0,2,0.74,0.697,0.7,0.2836,187,272,459
1823,2012/8/25,3,1,8,9,0,6,0,2,0.68,0.6364,0.69,0.2836,60,228,288
1824,2011/12/15,4,0,12,16,0,4,1,3,0.46,0.4545,0.72,0.1642,7,124,131
1825,2011/1/8,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55
1826,2012/8/14,3,1,8,3,0,2,1,2,0.68,0.6364,0.83,0.194,0,3,3
1827,2011/12/24,1,0,12,1,0,6,0,2,0.32,0.3485,0.66,0,1,15,16
1828,2011/8/10,3,0,8,10,0,3,1,1,0.8,0.7273,0.43,0.2239,41,72,113
1829,2012/6/3,2,1,6,3,0,0,0,1,0.52,0.5,0.63,0.1045,16,34,50
1830,2012/9/30,4,1,9,1,0,0,0,1,0.5,0.4848,0.59,0,31,85,116
1831,2012/3/17,1,1,3,13,0,6,0,1,0.6,0.6061,0.6,0.1045,286,400,686
1832,2011/5/9,2,0,5,18,0,1,1,1,0.62,0.6212,0.38,0.2985,66,458,524
1833,2012/12/5,4,1,12,10,0,3,1,2,0.44,0.4394,0.47,0.3582,14,127,141
1834,2011/1/14,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0,1,26,27
1835,2012/5/26,2,1,5,9,0,6,0,1,0.64,0.5758,0.83,0.194,97,192,289
1836,2011/1/16,1,0,1,14,0,0,0,1,0.28,0.2727,0.36,0.2537,22,69,91
1837,2011/5/19,2,0,5,13,0,4,1,3,0.58,0.5455,0.64,0.2537,44,139,183
1838,2012/11/16,4,1,11,13,0,5,1,1,0.42,0.4242,0.38,0.194,52,226,278
1839,2012/5/22,2,1,5,10,0,2,1,2,0.6,0.5758,0.78,0.0896,52,148,200
1840,2011/5/3,2,0,5,11,0,2,1,2,0.66,0.6212,0.65,0.3284,20,120,140
1841,2012/12/21,1,1,12,6,0,5,1,2,0.34,0.2879,0.57,0.5821,4,76,80
1842,2011/11/28,4,0,11,11,0,1,1,2,0.52,0.5,0.68,0.1045,11,107,118
1843,2012/7/6,3,1,7,16,0,5,1,1,0.92,0.8182,0.29,0.1045,69,300,369
1844,2012/1/22,1,1,1,19,0,0,0,3,0.16,0.1818,0.86,0.1045,9,80,89
1845,2012/8/20,3,1,8,10,0,1,1,2,0.64,0.6061,0.69,0.0896,69,124,193
1846,2012/9/1,3,1,9,3,0,6,0,1,0.7,0.6515,0.7,0.1045,6,29,35
1847,2011/6/30,3,0,6,1,0,4,1,1,0.64,0.6212,0.53,0.1343,13,19,32
1848,2011/10/15,4,0,10,18,0,6,0,1,0.54,0.5152,0.39,0.194,121,251,372
1849,2012/11/11,4,1,11,18,0,0,0,1,0.52,0.5,0.45,0.1343,102,303,405
1850,2011/10/30,4,0,10,6,0,0,0,1,0.24,0.2273,0.75,0.2537,2,8,10
1851,2011/12/24,1,0,12,23,0,6,0,1,0.24,0.2576,0.56,0,1,16,17
1852,2011/11/19,4,0,11,16,0,6,0,1,0.42,0.4242,0.38,0.2985,99,188,287
1853,2012/3/3,1,1,3,23,0,6,0,1,0.42,0.4242,0.24,0,12,94,106
1854,2011/10/10,4,0,10,13,1,1,0,1,0.72,0.6515,0.37,0,146,219,365
1855,2011/6/23,3,0,6,5,0,4,1,1,0.72,0.697,0.74,0.1642,2,22,24
1856,2011/3/29,2,0,3,5,0,2,1,1,0.22,0.2121,0.37,0.2537,0,8,8
1857,2011/10/17,4,0,10,6,0,1,1,1,0.5,0.4848,0.55,0.2537,7,107,114
1858,2012/1/9,1,1,1,18,0,1,1,4,0.2,0.2273,0.86,0.0896,6,158,164
1859,2011/5/27,2,0,5,19,0,5,1,3,0.6,0.5758,0.78,0.2537,69,210,279
1860,2012/5/21,2,1,5,15,0,1,1,2,0.64,0.6061,0.73,0.194,67,158,225
1861,2012/12/26,1,1,12,2,0,3,1,2,0.26,0.2273,0.65,0.2985,0,1,1
1862,2012/1/4,1,1,1,19,0,3,1,2,0.2,0.2273,0.4,0.1045,2,182,184
1863,2011/4/29,2,0,4,12,0,5,1,1,0.56,0.5303,0.37,0.2836,63,160,223
1864,2012/10/5,4,1,10,21,0,5,1,1,0.6,0.5909,0.69,0.2239,47,220,267
1865,2012/8/22,3,1,8,4,0,3,1,1,0.58,0.5455,0.83,0.1045,1,7,8
1866,2012/8/16,3,1,8,23,0,4,1,1,0.7,0.6515,0.54,0.1045,58,168,226
1867,2012/10/4,4,1,10,2,0,4,1,1,0.64,0.5758,0.89,0,3,10,13
1868,2011/2/28,1,0,2,8,0,1,1,2,0.34,0.303,0.93,0.2985,13,242,255
1869,2012/1/2,1,1,1,1,1,1,0,1,0.36,0.3333,0.43,0.4179,1,11,12
1870,2012/7/24,3,1,7,20,0,2,1,1,0.74,0.697,0.66,0.1642,85,438,523
1871,2012/4/25,2,1,4,13,0,3,1,1,0.56,0.5303,0.26,0.2239,35,193,228
1872,2012/9/6,3,1,9,3,0,4,1,1,0.7,0.6667,0.84,0.1045,0,9,9
1873,2011/6/15,2,0,6,19,0,3,1,1,0.7,0.6364,0.37,0.2836,54,362,416
1874,2012/7/3,3,1,7,16,0,2,1,2,0.9,0.7727,0.24,0.194,90,437,527
1875,2011/8/30,3,0,8,6,0,2,1,1,0.54,0.5152,0.73,0.1045,4,115,119
1876,2012/5/5,2,1,5,21,0,6,0,2,0.58,0.5455,0.78,0.2239,86,183,269
1877,2011/12/7,4,0,12,18,0,3,1,3,0.4,0.4091,0.94,0.2985,3,48,51
1878,2011/12/10,4,0,12,20,0,6,0,1,0.24,0.2273,0.35,0.2239,10,114,124
1879,2011/10/14,4,0,10,18,0,5,1,1,0.54,0.5152,0.39,0.2836,62,361,423
1880,2012/12/7,4,1,12,20,0,5,1,3,0.38,0.3939,0.76,0.1045,12,229,241
1881,2011/5/31,2,0,5,19,0,2,1,1,0.78,0.7424,0.62,0.1045,39,246,285
1882,2012/3/17,1,1,3,23,0,6,0,1,0.5,0.4848,0.77,0.1642,34,151,185
1883,2012/4/14,2,1,4,11,0,6,0,1,0.52,0.5,0.45,0.194,207,357,564
1884,2011/2/6,1,0,2,12,0,0,0,1,0.34,0.3333,0.46,0,48,126,174
1885,2011/1/7,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210
1886,2012/4/22,2,1,4,22,0,0,0,3,0.34,0.2879,0.87,0.5224,0,13,13
1887,2011/12/25,1,0,12,7,0,0,0,1,0.22,0.2424,0.8,0.1045,0,4,4
1888,2012/11/9,4,1,11,17,0,5,1,1,0.42,0.4242,0.44,0.1343,61,593,654
1889,2011/11/30,4,0,11,13,0,3,1,2,0.38,0.3939,0.43,0.3582,16,131,147
1890,2012/3/5,1,1,3,5,0,1,1,1,0.2,0.2273,0.55,0.0896,1,17,18
1891,2011/11/22,4,0,11,17,0,2,1,3,0.44,0.4394,1,0.0896,4,161,165
1892,2012/2/14,1,1,2,8,0,2,1,2,0.24,0.2879,0.7,0,3,510,513
1893,2012/8/26,3,1,8,16,0,0,0,3,0.64,0.5758,0.89,0.2836,57,116,173
1894,2012/1/11,1,1,1,8,0,3,1,1,0.2,0.2273,0.82,0.1045,11,488,499
1895,2011/8/7,3,0,8,10,0,0,0,1,0.8,0.803,0.66,0.1343,88,178,266
1896,2012/1/28,1,1,1,2,0,6,0,1,0.26,0.303,0.6,0,3,38,41
1897,2011/10/13,4,0,10,15,0,4,1,1,0.66,0.6061,0.78,0.194,27,128,155
1898,2012/12/29,1,1,12,0,0,6,0,2,0.24,0.2424,0.7,0,1,25,26
1899,2011/10/26,4,0,10,3,0,3,1,1,0.44,0.4394,0.67,0.2239,0,3,3
1900,2011/5/19,2,0,5,1,0,4,1,1,0.5,0.4848,0.94,0,2,4,6
1901,2011/10/29,4,0,10,22,0,6,0,1,0.22,0.2121,0.87,0.2239,10,44,54
1902,2012/2/10,1,1,2,22,0,5,1,2,0.32,0.3485,0.66,0,11,102,113
1903,2011/2/15,1,0,2,23,0,2,1,2,0.22,0.2576,0.44,0.0896,0,20,20
1904,2011/10/7,4,0,10,21,0,5,1,1,0.5,0.4848,0.68,0,22,144,166
1905,2012/5/10,2,1,5,3,0,4,1,1,0.46,0.4545,0.88,0.2239,0,3,3
1906,2011/6/5,2,0,6,4,0,0,0,2,0.62,0.6061,0.65,0.1642,4,8,12
1907,2012/6/30,3,1,6,22,0,6,0,1,0.78,0.7424,0.62,0.1642,38,134,172
1908,2012/4/25,2,1,4,6,0,3,1,1,0.34,0.3636,0.66,0,3,103,106
1909,2011/6/16,2,0,6,10,0,4,1,2,0.66,0.6212,0.61,0.2537,18,103,121
1910,2011/9/2,3,0,9,4,0,5,1,1,0.6,0.5606,0.83,0.0896,2,2,4
1911,2011/10/27,4,0,10,18,0,4,1,2,0.48,0.4697,0.67,0.4627,14,226,240
1912,2011/8/12,3,0,8,1,0,5,1,1,0.64,0.6212,0.53,0.1343,4,19,23
1913,2011/4/9,2,0,4,14,0,6,0,2,0.36,0.3485,0.81,0.1343,94,118,212
1914,2011/2/8,1,0,2,21,0,2,1,1,0.14,0.1061,0.33,0.4627,8,46,54
1915,2012/7/26,3,1,7,8,0,4,1,2,0.7,0.6667,0.74,0.2537,49,680,729
1916,2012/5/15,2,1,5,3,0,2,1,3,0.58,0.5455,0.83,0.1343,1,5,6
1917,2011/9/25,4,0,9,8,0,0,0,2,0.62,0.5606,0.88,0,27,59,86
1918,2012/10/18,4,1,10,21,0,4,1,2,0.54,0.5152,0.77,0.194,38,245,283
1919,2012/10/19,4,1,10,13,0,5,1,1,0.62,0.5909,0.73,0.2239,87,288,375
1920,2012/4/25,2,1,4,0,0,3,1,1,0.44,0.4394,0.38,0,13,23,36
1921,2012/6/1,2,1,6,18,0,5,1,3,0.62,0.5606,0.88,0.3582,10,100,110
1922,2012/3/18,1,1,3,14,0,0,0,2,0.5,0.4848,0.77,0.0896,218,303,521
1923,2012/7/30,3,1,7,9,0,1,1,2,0.74,0.697,0.7,0,34,259,293
1924,2012/9/17,3,1,9,23,0,1,1,3,0.6,0.5152,0.94,0.2537,4,66,70
1925,2011/8/17,3,0,8,18,0,3,1,1,0.76,0.697,0.55,0.2537,86,470,556
1926,2011/3/25,2,0,3,19,0,5,1,2,0.3,0.2879,0.36,0.2836,9,126,135
1927,2012/9/6,3,1,9,6,0,4,1,2,0.7,0.6667,0.84,0.0896,11,189,200
1928,2012/11/6,4,1,11,7,0,2,1,1,0.2,0.2121,0.69,0.1642,9,378,387
1929,2011/1/12,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33
1930,2012/3/25,2,1,3,8,0,0,0,2,0.4,0.4091,0.94,0.3284,21,68,89
1931,2011/9/29,4,0,9,5,0,4,1,2,0.6,0.5455,0.88,0.1045,0,22,22
1932,2011/9/12,3,0,9,16,0,1,1,1,0.72,0.6667,0.48,0,60,238,298
1933,2011/1/5,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46
1934,2012/12/3,4,1,12,0,0,1,1,2,0.42,0.4242,0.82,0.1642,3,18,21
1935,2012/3/29,2,1,3,14,0,4,1,1,0.5,0.4848,0.42,0.3582,63,175,238
1936,2012/2/1,1,1,2,3,0,3,1,1,0.44,0.4394,0.44,0.194,0,3,3
1937,2011/3/15,1,0,3,13,0,2,1,2,0.36,0.3333,0.57,0.2836,23,74,97
1938,2011/4/23,2,0,4,19,0,6,0,1,0.56,0.5303,0.83,0.2836,84,199,283
1939,2012/1/13,1,1,1,4,0,5,1,3,0.32,0.2879,0.7,0.4925,1,2,3
1940,2011/12/19,4,0,12,10,0,1,1,1,0.24,0.2273,0.67,0.194,12,96,108
1941,2011/6/16,2,0,6,3,0,4,1,2,0.56,0.5303,0.73,0.0896,0,4,4
1942,2012/2/21,1,1,2,7,0,2,1,1,0.22,0.2727,0.64,0,6,273,279
1943,2012/5/9,2,1,5,19,0,3,1,3,0.5,0.4848,0.77,0.3582,2,96,98
1944,2011/12/22,1,0,12,17,0,4,1,2,0.44,0.4394,0.67,0.1642,24,332,356
1945,2012/12/15,4,1,12,4,0,6,0,2,0.24,0.2576,0.87,0.1045,1,5,6
1946,2012/10/8,4,1,10,8,1,1,0,2,0.36,0.3485,0.71,0.2239,23,374,397
1947,2011/4/12,2,0,4,4,0,2,1,2,0.56,0.5303,0.64,0.1343,4,2,6
1948,2012/5/24,2,1,5,13,0,4,1,1,0.72,0.6667,0.54,0.1642,69,233,302
1949,2011/9/15,3,0,9,19,0,4,1,1,0.46,0.4545,0.67,0.4627,20,212,232
1950,2012/8/7,3,1,8,0,0,2,1,1,0.7,0.6667,0.84,0.194,15,32,47
1951,2012/10/30,4,1,10,18,0,2,1,3,0.3,0.303,0.87,0.1343,4,139,143
1952,2011/8/3,3,0,8,6,0,3,1,3,0.72,0.6818,0.66,0.4925,9,101,110
1953,2012/12/6,4,1,12,3,0,4,1,1,0.22,0.2273,0.55,0.194,0,2,2
1954,2011/10/19,4,0,10,13,0,3,1,2,0.54,0.5152,0.94,0.2836,20,86,106
1955,2011/8/26,3,0,8,10,0,5,1,1,0.74,0.697,0.66,0.0896,34,89,123
1956,2011/6/13,2,0,6,12,0,1,1,1,0.66,0.6212,0.41,0.2836,35,161,196
1957,2012/1/30,1,1,1,7,0,1,1,1,0.22,0.2121,0.44,0.2836,4,221,225
1958,2011/1/2,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22
1959,2011/2/26,1,0,2,10,0,6,0,2,0.3,0.303,0.49,0.1343,14,71,85
1960,2011/4/16,2,0,4,22,0,6,0,3,0.42,0.4242,1,0,2,22,24
1961,2012/12/3,4,1,12,21,0,1,1,1,0.44,0.4394,0.82,0.194,14,207,221
1962,2011/11/1,4,0,11,9,0,2,1,1,0.4,0.4091,0.66,0.1642,16,206,222
1963,2012/7/19,3,1,7,18,0,4,1,1,0.86,0.7879,0.41,0.194,93,684,777
1964,2012/3/11,1,1,3,7,0,0,0,1,0.22,0.2273,0.69,0.1343,2,15,17
1965,2012/7/12,3,1,7,18,0,4,1,1,0.76,0.6818,0.45,0.1343,86,739,825
1966,2011/4/4,2,0,4,22,0,1,1,2,0.68,0.6364,0.36,0.4627,17,58,75
1967,2011/3/7,1,0,3,9,0,1,1,1,0.22,0.1818,0.64,0.4627,5,129,134
1968,2011/12/11,4,0,12,13,0,0,0,1,0.3,0.3333,0.31,0,44,224,268
1969,2012/10/6,4,1,10,7,0,6,0,1,0.54,0.5152,0.83,0.2985,13,71,84
1970,2012/8/16,3,1,8,9,0,4,1,1,0.72,0.6667,0.54,0.1045,41,296,337
1971,2012/11/24,4,1,11,2,0,6,0,1,0.32,0.2727,0.39,0.6119,10,22,32
1972,2011/4/1,2,0,4,4,0,5,1,2,0.24,0.2273,0.93,0.2537,0,3,3
1973,2011/9/23,4,0,9,5,0,5,1,2,0.62,0.5455,0.94,0,2,20,22
1974,2012/2/16,1,1,2,3,0,4,1,2,0.3,0.3333,0.61,0,0,1,1
1975,2011/10/9,4,0,10,2,0,0,0,1,0.46,0.4545,0.88,0,20,35,55
1976,2011/8/3,3,0,8,9,0,3,1,2,0.74,0.6818,0.55,0.194,23,172,195
1977,2011/6/28,3,0,6,22,0,2,1,1,0.7,0.6515,0.7,0.2985,30,104,134
1978,2011/8/2,3,0,8,3,0,2,1,1,0.66,0.6212,0.74,0.194,0,5,5
1979,2012/11/26,4,1,11,7,0,1,1,1,0.24,0.2879,0.65,0,2,363,365
1980,2012/9/11,3,1,9,10,0,2,1,1,0.62,0.6212,0.38,0,54,142,196
1981,2012/2/19,1,1,2,5,0,0,0,2,0.26,0.2273,0.48,0.2985,1,1,2
1982,2012/7/17,3,1,7,2,0,2,1,1,0.72,0.6818,0.7,0.0896,1,6,7
1983,2012/9/27,4,1,9,3,0,4,1,1,0.6,0.5758,0.78,0,0,7,7
1984,2011/3/11,1,0,3,10,0,5,1,2,0.32,0.303,0.57,0.2985,18,60,78
1985,2011/10/30,4,0,10,0,0,0,0,1,0.22,0.2121,0.87,0.2239,7,47,54
1986,2012/11/17,4,1,11,1,0,6,0,1,0.26,0.2576,0.6,0.194,13,74,87
1987,2012/3/22,2,1,3,0,0,4,1,1,0.52,0.5,0.83,0.0896,9,32,41
1988,2012/1/12,1,1,1,3,0,4,1,3,0.36,0.3485,0.93,0.2537,0,3,3
1989,2011/4/12,2,0,4,3,0,2,1,2,0.58,0.5455,0.56,0.1343,0,1,1
1990,2012/10/6,4,1,10,12,0,6,0,1,0.7,0.6515,0.54,0.1045,362,381,743
1991,2012/6/18,2,1,6,5,0,1,1,3,0.52,0.5,0.83,0.1343,1,22,23
1992,2012/12/6,4,1,12,5,0,4,1,1,0.22,0.2121,0.55,0.2836,0,32,32
1993,2012/2/23,1,1,2,9,0,4,1,1,0.36,0.3333,0.81,0.2537,14,228,242
1994,2012/12/27,1,1,12,20,0,4,1,1,0.24,0.2424,0.6,0.1642,12,79,91
1995,2012/3/28,2,1,3,3,0,3,1,1,0.34,0.303,0.42,0.3284,1,4,5
1996,2011/10/10,4,0,10,18,1,1,0,2,0.64,0.6212,0.53,0,108,365,473
